UserId,User Account Number,Bank_Name,IFSC_CODE,Total_Balance
1,S6301254567,STATE BANK OF INDIA,SBIN0RRVCGB,1673
2,S6301254568,STATE BANK OF INDIA,SBIN0RRUTGB,1813
3,S6301254569,STATE BANK OF INDIA,SBIN0RRUKGB,833
4,S6301254570,STATE BANK OF INDIA,SBIN0RRSRGB,1673
5,S6301254571,STATE BANK OF INDIA,SBIN0RRNLGB,2506
6,S6301254572,STATE BANK OF INDIA,SBIN0RRMIGB,1253
7,S6301254573,STATE BANK OF INDIA,SBIN0RRMEGB,693
8,S6301254574,STATE BANK OF INDIA,SBIN0RRMBGB,1533
9,S6301254575,STATE BANK OF INDIA,SBIN0RRELGB,2310
10,S6301254576,STATE BANK OF INDIA,SBIN0RRDCGB,1253
11,S6301254577,STATE BANK OF INDIA,SBIN0RRCHGB,553
12,S6301254578,STATE BANK OF INDIA,SBIN0RRARGB,553
13,S6301254579,STATE BANK OF INDIA,SBIN0GOKDDO,693
14,S6301254580,STATE BANK OF INDIA,SBIN0COLLEC,448
15,S6301254581,STATE BANK OF INDIA,SBIN00CARDS,1253
16,S6301254582,STATE BANK OF INDIA,SBIN0080088,1393
17,S6301254583,STATE BANK OF INDIA,SBIN0080042,1253
18,S6301254584,STATE BANK OF INDIA,SBIN0071270,176.5
19,S6301254585,STATE BANK OF INDIA,SBIN0071269,729.5
20,S6301254586,STATE BANK OF INDIA,SBIN0071268,176.5
21,S6301254587,STATE BANK OF INDIA,SBIN0071267,593
22,S6301254588,STATE BANK OF INDIA,SBIN0071266,246.5
23,S6301254589,STATE BANK OF INDIA,SBIN0071265,736.5
24,S6301254590,STATE BANK OF INDIA,SBIN0071264,526.5
25,S6301254591,STATE BANK OF INDIA,SBIN0071263,526.5
26,S6301254592,STATE BANK OF INDIA,SBIN0071262,12
27,S6301254593,STATE BANK OF INDIA,SBIN0071261,176.5
28,S6301254594,STATE BANK OF INDIA,SBIN0071260,176.5
29,S6301254595,STATE BANK OF INDIA,SBIN0071259,176.5
30,S6301254596,STATE BANK OF INDIA,SBIN0071258,176.5
31,S6301254597,STATE BANK OF INDIA,SBIN0071256,2199.5
32,S6301254598,STATE BANK OF INDIA,SBIN0071255,456.5
33,S6301254599,STATE BANK OF INDIA,SBIN0071254,526.5
8996,H6301263562,HDFC BANK LIMITED ,HDFC0004310,145
8997,H6301263563,HDFC BANK LIMITED ,HDFC0004311,670
8998,H6301263564,HDFC BANK LIMITED ,HDFC0004312,145
8999,H6301263565,HDFC BANK LIMITED ,HDFC0004313,320
9000,H6301263566,HDFC BANK LIMITED ,HDFC0004314,145
9001,H6301263567,HDFC BANK LIMITED ,HDFC0004315,145
9002,H6301263568,HDFC BANK LIMITED ,HDFC0004316,145
9003,H6301263569,HDFC BANK LIMITED ,HDFC0004317,145
9004,H6301263570,HDFC BANK LIMITED ,HDFC0004318,145
9005,H6301263571,HDFC BANK LIMITED ,HDFC0004319,145
9006,H6301263572,HDFC BANK LIMITED ,HDFC0004320,145
9007,H6301263573,HDFC BANK LIMITED ,HDFC0004321,320
9008,H6301263574,HDFC BANK LIMITED ,HDFC0004322,145
9009,H6301263575,HDFC BANK LIMITED ,HDFC0004323,145
9010,H6301263576,HDFC BANK LIMITED ,HDFC0004324,145
9011,H6301263577,HDFC BANK LIMITED ,HDFC0004325,320
9012,H6301263578,HDFC BANK LIMITED ,HDFC0004326,145
9013,H6301263579,HDFC BANK LIMITED ,HDFC0004327,525
9014,H6301263580,HDFC BANK LIMITED ,HDFC0004328,1575
9015,H6301263581,HDFC BANK LIMITED ,HDFC0004329,525
9016,H6301263582,HDFC BANK LIMITED ,HDFC0004330,1050
9017,H6301263583,HDFC BANK LIMITED ,HDFC0004331,525
9018,H6301263584,HDFC BANK LIMITED ,HDFC0004332,525
9019,H6301263585,HDFC BANK LIMITED ,HDFC0004333,525
9020,H6301263586,HDFC BANK LIMITED ,HDFC0004334,525
9021,H6301263587,HDFC BANK LIMITED ,HDFC0004335,525
9022,H6301263588,HDFC BANK LIMITED ,HDFC0004336,525
9023,H6301263589,HDFC BANK LIMITED ,HDFC0004337,1050
9024,H6301263590,HDFC BANK LIMITED ,HDFC0004338,525
9025,H6301263591,HDFC BANK LIMITED ,HDFC0004339,1050
9026,H6301263592,HDFC BANK LIMITED ,HDFC0004340,525
9027,H6301263593,HDFC BANK LIMITED ,HDFC0004341,525
15362,I6301269928,ICICI BANK LIMITED,ICICI23450000,413
15363,I6301269929,ICICI BANK LIMITED,ICICI23450001,413
15364,I6301269930,ICICI BANK LIMITED,ICICI23450002,1239
15365,I6301269931,ICICI BANK LIMITED,ICICI23450003,413
15366,I6301269932,ICICI BANK LIMITED,ICICI23450004,413
15367,I6301269933,ICICI BANK LIMITED,ICICI23450005,413
15368,I6301269934,ICICI BANK LIMITED,ICICI23450006,1239
15369,I6301269935,ICICI BANK LIMITED,ICICI23450007,826
15370,I6301269936,ICICI BANK LIMITED,ICICI23450008,413
15371,I6301269936,ICICI BANK LIMITED,ICICI23450008,826
15372,I6301269937,ICICI BANK LIMITED,ICICI23450009,826
15373,I6301269938,ICICI BANK LIMITED,ICICI23450010,413
15374,I6301269938,ICICI BANK LIMITED,ICICI23450010,413
15375,I6301269939,ICICI BANK LIMITED,ICICI23450011,413
15376,I6301269940,ICICI BANK LIMITED,ICICI23450012,1652
15377,I6301269941,ICICI BANK LIMITED,ICICI23450013,413
15378,I6301269941,ICICI BANK LIMITED,ICICI23450013,413
15379,I6301269942,ICICI BANK LIMITED,ICICI23450014,1239
15380,I6301269942,ICICI BANK LIMITED,ICICI23450014,413
15381,I6301269943,ICICI BANK LIMITED,ICICI23450015,413
15382,I6301269943,ICICI BANK LIMITED,ICICI23450015,413
15383,I6301269944,ICICI BANK LIMITED,ICICI23450016,156.5
15384,I6301269945,ICICI BANK LIMITED,ICICI23450017,569.5
15385,I6301269945,ICICI BANK LIMITED,ICICI23450017,156.5
15386,I6301269946,ICICI BANK LIMITED,ICICI23450018,363
15387,I6301269947,ICICI BANK LIMITED,ICICI23450019,156.5
15388,I6301269948,ICICI BANK LIMITED,ICICI23450020,156.5
15389,I6301269948,ICICI BANK LIMITED,ICICI23450020,776
15390,I6301269948,ICICI BANK LIMITED,ICICI23450020,156.5
15391,I6301269948,ICICI BANK LIMITED,ICICI23450020,569.5
15392,I6301269949,ICICI BANK LIMITED,ICICI23450021,363
15393,I6301269950,ICICI BANK LIMITED,ICICI23450022,156.5
15394,I6301269951,ICICI BANK LIMITED,ICICI23450023,156.5
15395,I6301269952,ICICI BANK LIMITED,ICICI23450024,156.5
