Order ID,UserId,User_Name,Age,Gender,User Account Number,Bank_Name,IFSC_CODE,Restaurant_id,Restaurant_name,Restaurant City,Order Date,Item Name,Quantity,Product Price,Total products
25583,1,Aahan,19,0,S6301254567,STATE BANK OF INDIA,SBIN0RRVCGB,6317637,Le Petit Souffle,Makati City,3/8/2019 21:58,Tandoori Mixed Grill,1,836.5,12
25582,2,Parth,18,1,S6301254568,STATE BANK OF INDIA,SBIN0RRUTGB,6304287,Izakaya Kikufuji,Makati City,3/8/2019 20:33,Tandoori King Prawn Masala,1,906.5,5
25581,3,Aakil,28,1,S6301254569,STATE BANK OF INDIA,SBIN0RRUKGB,6300002,Heat - Edsa Shangri-La,Mandaluyong City,3/8/2019 20:01,Saag Paneer,1,416.5,5
25580,4,Kiaan,33,1,S6301254570,STATE BANK OF INDIA,SBIN0RRSRGB,6318506,Ooma,Mandaluyong City,3/8/2019 19:46,Tandoori Fish Karahi,1,836.5,4
25579,5,Mahir,32,1,S6301254571,STATE BANK OF INDIA,SBIN0RRNLGB,6314302,Sambo Kojin,Mandaluyong City,3/8/2019 19:36,Madras - Chicken Tikka,2,626.5,4
25578,6,Nadin,31,0,S6301254572,STATE BANK OF INDIA,SBIN0RRMIGB,18189371,Din Tai Fung,Mandaluyong City,3/8/2019 19:31,Vindaloo - Chicken Tikka,1,626.5,2
25577,7,Onir,46,0,S6301254573,STATE BANK OF INDIA,SBIN0RRMEGB,6300781,Buffet 101,Pasay City,3/8/2019 19:27,Sheek Kebab,1,346.5,3
25576,8,Viaan,37,0,S6301254574,STATE BANK OF INDIA,SBIN0RRMBGB,6301290,Vikings,Pasay City,3/8/2019 19:24,Tandoori Fish (Main),1,766.5,6
25575,9,Ivan,37,1,S6301254575,STATE BANK OF INDIA,SBIN0RRELGB,6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,3/8/2019 19:16,COBRA ( LARGE ),3,385,5
25574,10,Reyansh,60,0,S6301254576,STATE BANK OF INDIA,SBIN0RRDCGB,6314987,Locavore,Pasig City,3/8/2019 19:13,Dhansak - Chicken Tikka,1,626.5,9
25573,11,Aryan,25,1,S6301254577,STATE BANK OF INDIA,SBIN0RRCHGB,6309903,Silantro Fil-Mex,Pasig City,3/8/2019 19:11,Onion Bhaji,1,276.5,8
25572,12,Ishaan,62,0,S6301254578,STATE BANK OF INDIA,SBIN0RRARGB,6309455,Mad Mark's Creamery & Good Eats,Pasig City,3/8/2019 19:04,Onion Bhaji,1,276.5,8
25571,13,Ridhaan,23,1,S6301254579,STATE BANK OF INDIA,SBIN0GOKDDO,6318433,Silantro Fil-Mex,Quezon City,3/8/2019 19:04,Chicken Pakora,1,346.5,4
25570,14,Daksh,56,0,S6301254580,STATE BANK OF INDIA,SBIN0COLLEC,6310470,Guevarra's,San Juan City,3/8/2019 18:58,Spicy Papadum,4,56,5
25569,15,Simar,27,1,S6301254581,STATE BANK OF INDIA,SBIN00CARDS,6314605,Sodam Korean Restaurant,San Juan City,3/8/2019 18:57,Cylon - Chicken,1,626.5,12
25568,16,Adwait,19,1,S6301254582,STATE BANK OF INDIA,SBIN0080088,18185059,Cafe Arabelle,Santa Rosa,3/8/2019 18:57,Lamb Balti,1,696.5,7
25567,17,Yash,52,0,S6301254583,STATE BANK OF INDIA,SBIN0080042,18182702,Nonna's Pasta & Pizzeria,Santa Rosa,3/8/2019 18:51,Chicken Tikka Masala,1,626.5,4
25566,18,Zian,23,1,S6301254584,STATE BANK OF INDIA,SBIN0071270,6318213,Balay Dako,Tagaytay City,3/8/2019 18:48,Onion Bhaji,1,276.5,8
25565,19,Dhvan,56,1,S6301254585,STATE BANK OF INDIA,SBIN0071269,18255654,Hobing Korean Dessert Cafe,Taguig City,3/8/2019 18:42,Onion Bhaji,3,276.5,7
25564,20,Nehal,30,1,S6301254586,STATE BANK OF INDIA,SBIN0071268,6308205,Wildflour Cafe + Bakery,Taguig City,3/8/2019 18:32,Onion Bhaji,1,276.5,5
25563,21,Aahir,60,0,S6301254587,STATE BANK OF INDIA,SBIN0071267,6315438,NIU by Vikings,Taguig City,3/8/2019 18:26,Chicken Chaat,2,346.5,12
25562,22,Vihan,30,0,S6301254588,STATE BANK OF INDIA,SBIN0071266,6310406,The Food Hall by Todd English,Taguig City,3/8/2019 18:23,Chicken Tikka,1,346.5,6
25561,23,Laksh,18,1,S6301254589,STATE BANK OF INDIA,SBIN0071265,6600681,Chez Michou,Bras�_lia,3/8/2019 18:19,Tandoori Mixed Grill,1,836.5,5
25560,24,Rahi,34,0,S6301254590,STATE BANK OF INDIA,SBIN0071264,6601005,Caf�� Daniel Briand,Bras�_lia,3/8/2019 18:18,Chicken Tikka Masala,1,626.5,9
25559,25,Neel,37,1,S6301254591,STATE BANK OF INDIA,SBIN0071263,6600292,Casa do Biscoito Mineiro,Bras�_lia,3/8/2019 18:01,Chicken Chilli Suka,1,626.5,9
25558,26,Ahir,59,0,S6301254592,STATE BANK OF INDIA,SBIN0071262,6600441,Maori,Bras�_lia,3/8/2019 18:01,Plain Papadum,2,56,11
25557,27,Aagar,63,0,S6301254593,STATE BANK OF INDIA,SBIN0071261,6600970,Pizza �� Bessa,Bras�_lia,3/8/2019 17:41,Crispy Aloo,1,276.5,12
25556,28,Amargeet,55,0,S6301254594,STATE BANK OF INDIA,SBIN0071260,6600379,Sushi Loko,Bras�_lia,3/8/2019 17:40,Mini Bhaji,1,276.5,8
25555,29,Anand,23,1,S6301254595,STATE BANK OF INDIA,SBIN0071259,6600214,Beirute,Bras�_lia,3/8/2019 17:36,Onion Bhaji,1,276.5,7
25554,30,Ambadas,31,1,S6301254596,STATE BANK OF INDIA,SBIN0071258,6601218,New Koto,Bras�_lia,3/8/2019 17:30,Onion Bhaji,1,276.5,15
